file,line,pattern,classification,reason,snippet
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,83,guarantee,SAFE_DISCLAIMER,Contains safe context: not a guaranteed signal provider,<li>Not a guaranteed signal provider</li>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,83,signal,SAFE_DISCLAIMER,Contains safe context: not a guaranteed signal provider,<li>Not a guaranteed signal provider</li>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,buy,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,sell,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,entry,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,take-profit,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,stop-loss,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,signal,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,91,profit,SAFE_DISCLAIMER,Contains safe context: avoid,<p>It avoids buy/sell/entry/take-profit/stop-loss/signal language.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\green-red-box-alignment.html,55,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p class=""muted"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,107,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p style=""margin:8px 0 0;color:rgba(226,232,240,.62);font-size:12px;"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,128,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p style=""margin:8px 0 0;color:rgba(226,232,240,.62);font-size:12px;"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,181,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p class=""warning"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,209,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,<span><strong>Research visual only.</strong> No buy/sell instructions. Not financial advice.</span>
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,209,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,<span><strong>Research visual only.</strong> No buy/sell instructions. Not financial advice.</span>
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,218,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,218,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,218,signal,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,107,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p style=""margin:8px 0 0;color:rgba(226,232,240,.62);font-size:12px;"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,128,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p style=""margin:8px 0 0;color:rgba(226,232,240,.62);font-size:12px;"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,181,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p class=""warning"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,209,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,<span><strong>Research visual only.</strong> No buy/sell instructions. Not financial advice.</span>
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,209,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,<span><strong>Research visual only.</strong> No buy/sell instructions. Not financial advice.</span>
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,218,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,218,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,218,signal,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"No buy/sell instructions. No signal wording. Sell the map, not the trade."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-indicators.html,1,signal,RISKY_PROMO,Risky term without clear disclaimer/negative context.,"<!doctype html><html lang=""en""><head><meta charset=""utf-8""><title>PrimeViewFX Indicators</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{margin:0;background:#071522;color:#d6e1ee;font-family:Inter,system-ui,Segoe UI,Aria…"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-research-a8502a7b66e839df.html,348,guaranteed,SAFE_DISCLAIMER,Contains safe context: direct trade instructions,"direct trade instructions, position sizing, or guaranteed outcomes. Trading leveraged products such as CFDs can result in losses."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-research-a8502a7b66e839df.html,348,guarantee,SAFE_DISCLAIMER,Contains safe context: direct trade instructions,"direct trade instructions, position sizing, or guaranteed outcomes. Trading leveraged products such as CFDs can result in losses."
C:\Trading\Publish\PrimeViewFX_Static_Site\members-research-a8502a7b66e839df.html,505,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<span class=""primeviewfx-research-tools-disclaimer"">Research only. Not a trading signal.</span>"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-static-chart-preview-4597f9ea54ee5855.html,1,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<!doctype html><html lang=""en""><head><meta charset=""utf-8""><title>PrimeViewFX Members Static Chart Preview</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{margin:0;background:#071522;color:#d6e1ee;font-family:Inter,syste…"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-static-chart-preview-4597f9ea54ee5855.html,1,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<!doctype html><html lang=""en""><head><meta charset=""utf-8""><title>PrimeViewFX Members Static Chart Preview</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{margin:0;background:#071522;color:#d6e1ee;font-family:Inter,syste…"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-weekly-goldturns-5ca15a7d08b31d56.html,1,buy,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<!doctype html><html lang=""en""><head><meta charset=""utf-8""><title>PrimeViewFX Weekly Gold Zones</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{margin:0;background:#071522;color:#d6e1ee;font-family:Inter,system-ui,Segoe …"
C:\Trading\Publish\PrimeViewFX_Static_Site\members-weekly-goldturns-5ca15a7d08b31d56.html,1,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<!doctype html><html lang=""en""><head><meta charset=""utf-8""><title>PrimeViewFX Weekly Gold Zones</title><meta name=""viewport"" content=""width=device-width, initial-scale=1""><style>body{margin:0;background:#071522;color:#d6e1ee;font-family:Inter,system-ui,Segoe …"
C:\Trading\Publish\PrimeViewFX_Static_Site\production-health.html,45,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<p class=""disclaimer"">Research only. Not a trading signal.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,25,buy,SAFE_DISCLAIMER,Contains safe context: does not provide,"<p>PrimeViewFX does not provide personal financial advice. PrimeViewFX does not tell users to buy, sell, enter, exit, hold, increase, reduce or copy any trade.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,25,sell,SAFE_DISCLAIMER,Contains safe context: does not provide,"<p>PrimeViewFX does not provide personal financial advice. PrimeViewFX does not tell users to buy, sell, enter, exit, hold, increase, reduce or copy any trade.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,42,guarantee,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,<h2>No guarantees</h2>
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,43,guarantee,SAFE_DISCLAIMER,Contains safe context: past model performance does not guarantee,<p>PrimeViewFX models are experimental. Past model performance does not guarantee future results.</p>
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,51,guaranteed,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<p>No level, state, box, channel, range or model output is guaranteed.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,51,guarantee,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<p>No level, state, box, channel, range or model output is guaranteed.</p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,62,sell,SAFE_DISCLAIMER,Allowed safe/disclaimer positioning phrase.,"<p><strong>PrimeViewFX sells the map, not the trade.</strong></p>"
C:\Trading\Publish\PrimeViewFX_Static_Site\weighted-level-scanner-add58c89ce531e69.html,228,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,Research only. Not a trading signal.
C:\Trading\Publish\PrimeViewFX_Static_Site\weighted-level-scanner-add58c89ce531e69.html,369,signal,SAFE_DISCLAIMER,Contains safe context: not a trading signal,"<span class=""primeviewfx-research-tools-disclaimer"">Research only. Not a trading signal.</span>"
